商品名称,店铺名,商品售价,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量
ออยล์บำรุงผิว กระจ่างใส Ness กลิ่นวานิลลาครัวซอง ผิวนุ่มชุ่มชื้นไม่เหนียวเหนอะหนะ (มีให้เลือก 2ขนาด),Ness herbal,฿185.40,美妆个护-洗浴与身体护理-保湿油、按摩油,15%,38648,-1.1%,189548,31780570.36,6523143,2025-03-04 03:46:54,541559
มอยส์เจอร์ไรเซอร์กาญจนา Moisture (ร้านเจ้าของแบรนด์),น้องมีน มาร์ค สมุนไพรกาญจนา,฿88.00,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,10%,38531,2.38%,185431,15313043.59,3043949,2025-05-03 23:19:07,203476
20 ชิ้น/แพ็ค ผ้าอนามัยแบบกางเกง ichi ผ้าอนามัยกางเกง อัปเกรดผ้าอนามัยระบายอากาศได้ 360° ระบายอากาศได้ดี ใช้ได้ทั้งกลางวันและกลางคืน ขนาด M-XL,ichi TH,฿93.68,美妆个护-女性私密处护理-卫生巾,10%,38427,29.13%,101953,9273074.72,3398212.95,2025-06-12 08:22:34,2402466
โปรโมชั่นสุดคุ้ม (ซื้อ 1 แถม 1 )FEALI ครีมนมแพะ 5X Pro-Xylane Moisturizing Cream บำรุงผิวหน้าให้ชุ่มชื้นและเรียบเนียน พร้อมส่วนผสมของโปร-ไซเลนและไนอาซินามายด์ ซื้อ 1 แถม 1 โปรโมชั่นสุดคุ้ม,FEALI.TH,฿162.40,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,10%,38023,33.79%,480190,67354863.46,5200108.73,2023-12-19 16:55:40,684341
สครับพะพิม แพ็คเก็จใหม่ (2 แถม 1) 400กรัม/1ถุง,เจ้าของแบรนด์ พะ พิม,฿115.00,美妆个护-洗浴与身体护理-身体磨砂膏、去角质,10%,37949,-9.9%,241172,23118271.52,3740604,2024-12-01 21:01:59,1686163
**เฉพาะไลฟ์คุณอั้ม+คุณเจนนี่** Madame Fin น้ำหอมGlam2025  ขนาด50ml. 1 ขวด + น้ำหอมมาดามฟิน 1 ขวด(คละ) + โลชั่นขนาด 100ml 1 หลอด(คละ) + โรลออน ขนาด50ml. 2 ขวด(คละ),Madamefin,"฿1,356.00",美妆个护-香水-男女通用香水,10%,37518,37517900%,39120,46634854,42389248,2025-10-14 20:10:33,2994169
Madame Fin น้ำหอมมาดามฟินรุ่นคลาสสิคขนาด 10 ml. 2 ขวด + สบู่30กรัม(คละ) 1 ก้อน,Madamefin,฿397.56,美妆个护-香水-男女通用香水,10%,37125,-7.49%,266325,93750182.35,11452018.42,2024-02-21 01:30:53,2994169
ลดสนั่น! LAB SMILE DENTAL แลบสไมล์ เด้นทอล ยาสีฟันสูตรพรีเมี่ยม,Kongnaphat,฿184.31,美妆个护-鼻子口腔护理-牙膏,7%,36986,-14.29%,453120,74797523.34,6674855.05,2023-10-21 11:00:44,2688846
【BCD】Glad2Glow Milk Brightening Cleanser/Acid Acne Gel Cleanser คลีนเซอร์เจล กรดซาลิไซลิค เซนเทลลา สำหรับผิวเป็นสิว/Blueberry Gel Cleanser เจลคลีนเซอร์ บลูเบอร์รี่/Acid Exfo Smooth Peeling Gel  แอปริคอท ไกลโคลิค แอซิด เอ็กซ์โฟ สมูท พีลลิ่ง เจล,Glad2GlowThai,฿105.69,美妆个护-美容护肤-洗面乳,4%,36590,116.14%,64290,6333303.48,3463925.62,2025-04-07 00:08:53,836322
BLAHMBOOH น้ำตบไมโครเอสเซนส์ (ขนาด 100 ml.) [น้ำตบปลุกผิว] เหมาะกับผู้มีปัญหารูขุมขนกว้าง ผิวหน้าไม่เรียบเนียน ไม่กระจ่างใส ไม่อิ่มฟู,blahmboohthailand,฿404.00,美妆个护-美容护肤-面部精华液,15%,36587,290.26%,91009,41672287.12,13555766,2022-08-19 02:36:00,604074
PALA รองพื้น กันน้ำ เนื้อบางเบา ปกปิดระดับกลาง สิว ฝ้ากระจุดด่างดำ SPF50+PA+++ ขนาด 30g. Soft Mist Long-Lasting Liquid Foundation เครื่องสำอาง ผู้หญิง Cosmetics แบรนด์ไทย มีอ.ย. Women ผิว,pala makeup,฿132.00,美妆个护-美妆-遮瑕与粉底,23%,36357,-12.15%,235057,25704679.07,4218551,2024-06-05 14:13:07,962157
ไม่ต้องกัดสีผมค่ะ2025 สินค้าฮอตในSTYLE FIT สีย้อมผม ยาย้อมผม 100ml ครีมย้อมผม อ่อนโยนไม่ปิดกั้นทำสีง่า，ฟรีอุปกรณ์ทำสีผม,KLAOSSASHOP,฿72.00,美妆个护-头部护理与造型-染发用品,15%,36282,-15.82%,403328,29129302,2338169,2024-10-29 00:35:15,772204
[New package] เซรั่มรากโสมมุนอา 문아 MUN-A SERUM เซรั่มรากโสม มุนอา เกาหลี บำรุงผิวหน้า 15 ml.,muna.soul,"฿1,353.00",美妆个护-美容护肤-痘痘、粉刺护理,12%,35814,43.11%,138282,97723831,38959812,2025-01-07 14:02:22,202066
[ราคาพิเศษ 3 วันเท่านั้น] Svn SOFT BLURRING 12/3 COLOR DOUBLE EYE PALETTE : HF620,SIVANNA_COLORS_TH,฿140.11,美妆个护-美妆-眼影,10%,34801,49.8%,132943,16676712.03,4441218.88,2024-09-24 09:31:04,362564
"คอนแทคเลนส์สี, แม่ทัพ, QUEEN Series, ธรรมชาติ, ครึ่งปี, 14.0 มม., สีน้ำตาล / เทา, เลนส์นุ่ม, พร้อมกล่องใส่เลนส์ฟรี, [ไม่มีแหวนและ COD]",Magister,฿81.00,美妆个护-眼镜耳朵护理-隐形眼镜,5%,34783,-5.18%,137583,9165842.2,2325428,2025-04-12 13:48:09,260062
[บริษัทโดยตรง] JOSE Body Cream ครีมโจเซ่ บำรุงผิวกาย ขนาด 250 กรัม (แพคเกจใหม่),JOSE Thailand,฿190.00,美妆个护-洗浴与身体护理-身体霜、乳,15%,34449,-1.73%,677437,121363505.1,6166371,2023-11-16 10:08:19,2551589
(โปรไลฟ์) ยาสีฟันพี่ฝน ทิสมา 1 แถม 1 หลอด แบรนด์ฝนดอกไม้,ฝนดอกไม้,฿320.00,美妆个护-鼻子口腔护理-牙膏,10%,34428,522.34%,462000,89294396.75,5708186.15,2023-03-11 21:41:08,6624976
( พร้อมส่ง ) น้ำตบ เคโอริช  Multi Essence Ko Rich,korich,฿111.00,美妆个护-美容护肤-面部精华液,-,33844,192.39%,175832,26846771.6,2272645.81,2023-04-28 22:45:05,8370027
มาร์คหน้าพะพิม(2กระปุก 100บาท),เจ้าของแบรนด์ พะ พิม,฿107.00,美妆个护-美容护肤-面膜,10%,33801,286.21%,57400,5736026,3380100,2025-03-19 06:20:17,1686163
